Name,ID,Has Block,Mod,Class
minecraft:mossy_cobblestone,48,true,minecraft,net.minecraft.item.ItemBlock
minecraft:obsidian,49,true,minecraft,net.minecraft.item.ItemBlock
minecraft:torch,50,true,minecraft,net.minecraft.item.ItemBlock
minecraft:fire,51,true,minecraft,net.minecraft.item.ItemBlock
minecraft:mob_spawner,52,true,minecraft,codechicken.nei.ItemMobSpawner
minecraft:oak_stairs,53,true,minecraft,net.minecraft.item.ItemBlock
minecraft:chest,54,true,minecraft,net.minecraft.item.ItemBlock
minecraft:diamond_ore,56,true,minecraft,net.minecraft.item.ItemBlock
minecraft:diamond_block,57,true,minecraft,net.minecraft.item.ItemBlock
minecraft:crafting_table,58,true,minecraft,net.minecraft.item.ItemBlock
minecraft:farmland,60,true,minecraft,net.minecraft.item.ItemBlock
minecraft:furnace,61,true,minecraft,net.minecraft.item.ItemBlock
minecraft:lit_furnace,62,true,minecraft,net.minecraft.item.ItemBlock
minecraft:ladder,65,true,minecraft,net.minecraft.item.ItemBlock
minecraft:rail,66,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stone_stairs,67,true,minecraft,net.minecraft.item.ItemBlock
minecraft:lever,69,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.item.ItemBlock
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.item.ItemBlock
minecraft:redstone_ore,73,true,minecraft,net.minecraft.item.ItemBlock
minecraft:redstone_torch,76,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stone_button,77,true,minecraft,net.minecraft.item.ItemBlock
minecraft:snow_layer,78,true,minecraft,net.minecraft.item.ItemSnow
minecraft:ice,79,true,minecraft,net.minecraft.item.ItemBlock
minecraft:snow,80,true,minecraft,net.minecraft.item.ItemBlock
minecraft:cactus,81,true,minecraft,net.minecraft.item.ItemBlock
minecraft:clay,82,true,minecraft,net.minecraft.item.ItemBlock
minecraft:jukebox,84,true,minecraft,net.minecraft.item.ItemBlock
minecraft:fence,85,true,minecraft,net.minecraft.item.ItemBlock
minecraft:pumpkin,86,true,minecraft,net.minecraft.item.ItemBlock
minecraft:netherrack,87,true,minecraft,net.minecraft.item.ItemBlock
minecraft:soul_sand,88,true,minecraft,net.minecraft.item.ItemBlock
minecraft:glowstone,89,true,minecraft,net.minecraft.item.ItemBlock
minecraft:portal,90,true,minecraft,net.minecraft.item.ItemBlock
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stained_glass,95,true,minecraft,net.minecraft.item.ItemCloth
minecraft:trapdoor,96,true,minecraft,net.minecraft.item.ItemBlock
minecraft:monster_egg,97,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:stonebrick,98,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.item.ItemBlock
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.item.ItemBlock
minecraft:iron_bars,101,true,minecraft,net.minecraft.item.ItemBlock
minecraft:glass_pane,102,true,minecraft,net.minecraft.item.ItemBlock
minecraft:melon_block,103,true,minecraft,net.minecraft.item.ItemBlock
minecraft:vine,106,true,minecraft,net.minecraft.item.ItemColored
minecraft:fence_gate,107,true,minecraft,net.minecraft.item.ItemBlock
minecraft:brick_stairs,108,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.item.ItemBlock
minecraft:mycelium,110,true,minecraft,net.minecraft.item.ItemBlock
minecraft:waterlily,111,true,minecraft,net.minecraft.item.ItemLilyPad
minecraft:nether_brick,112,true,minecraft,net.minecraft.item.ItemBlock
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.item.ItemBlock
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.item.ItemBlock
minecraft:enchanting_table,116,true,minecraft,net.minecraft.item.ItemBlock
minecraft:end_portal,119,true,minecraft,net.minecraft.item.ItemBlock
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.item.ItemBlock
minecraft:end_stone,121,true,minecraft,net.minecraft.item.ItemBlock
minecraft:dragon_egg,122,true,minecraft,net.minecraft.item.ItemBlock
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.item.ItemBlock
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.item.ItemSlab
minecraft:wooden_slab,126,true,minecraft,net.minecraft.item.ItemSlab
minecraft:cocoa,127,true,minecraft,net.minecraft.item.ItemBlock
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.item.ItemBlock
minecraft:emerald_ore,129,true,minecraft,net.minecraft.item.ItemBlock
minecraft:ender_chest,130,true,minecraft,net.minecraft.item.ItemBlock
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.item.ItemBlock
minecraft:emerald_block,133,true,minecraft,net.minecraft.item.ItemBlock
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.item.ItemBlock
minecraft:birch_stairs,135,true,minecraft,net.minecraft.item.ItemBlock
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.item.ItemBlock
minecraft:command_block,137,true,minecraft,net.minecraft.item.ItemBlock
minecraft:beacon,138,true,minecraft,net.minecraft.item.ItemBlock
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:carrots,141,true,minecraft,net.minecraft.item.ItemBlock
minecraft:potatoes,142,true,minecraft,net.minecraft.item.ItemBlock
minecraft:wooden_button,143,true,minecraft,net.minecraft.item.ItemBlock
minecraft:anvil,145,true,minecraft,net.minecraft.item.ItemAnvilBlock
minecraft:trapped_chest,146,true,minecraft,net.minecraft.item.ItemBlock
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.item.ItemBlock
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.item.ItemBlock
minecraft:daylight_detector,151,true,minecraft,net.minecraft.item.ItemBlock
minecraft:redstone_block,152,true,minecraft,net.minecraft.item.ItemBlock
minecraft:quartz_ore,153,true,minecraft,net.minecraft.item.ItemBlock
minecraft:hopper,154,true,minecraft,net.minecraft.item.ItemBlock
minecraft:quartz_block,155,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.item.ItemBlock
minecraft:activator_rail,157,true,minecraft,net.minecraft.item.ItemBlock
minecraft:dropper,158,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.item.ItemCloth
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.item.ItemCloth
minecraft:leaves2,161,true,minecraft,net.minecraft.item.ItemLeaves
minecraft:log2,162,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.item.ItemBlock
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.item.ItemBlock
BuildCraft|Core:eternalSpring,165,true,BuildCraft|Core,buildcraft.core.ItemSpring
BuildCraft|Core:buildToolBlock,166,true,BuildCraft|Core,buildcraft.core.lib.items.ItemBlockBuildCraft
BuildCraft|Core:engineBlock,167,true,BuildCraft|Core,buildcraft.core.lib.engines.ItemEngine
BuildCraft|Core:markerBlock,168,true,BuildCraft|Core,buildcraft.core.lib.items.ItemBlockBuildCraft
BuildCraft|Core:pathMarkerBlock,169,true,BuildCraft|Core,buildcraft.core.lib.items.ItemBlockBuildCraft
minecraft:hay_block,170,true,minecraft,net.minecraft.item.ItemBlock
minecraft:carpet,171,true,minecraft,net.minecraft.item.ItemCloth
minecraft:hardened_clay,172,true,minecraft,net.minecraft.item.ItemBlock
minecraft:coal_block,173,true,minecraft,net.minecraft.item.ItemBlock
minecraft:packed_ice,174,true,minecraft,net.minecraft.item.ItemBlock
minecraft:double_plant,175,true,minecraft,net.minecraft.item.ItemDoublePlant
libVulpes:tile.blockPhantom,176,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:blockHatch,177,true,libVulpes,zmaster587.libVulpes.items.ItemBlockMeta
libVulpes:blockPlaceholder,178,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:blockStructureBlock,179,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:rfBattery,180,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:batteryOutputRF,181,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:tile.creativePowerBattery,182,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:tile.advStructureMachine,183,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:tile.coalGenerator,184,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:tile.motor,185,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:tile.advancedMotor,186,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:tile.enhancedMotor,187,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:tile.eliteMotor,188,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:tile.IC2Plug,189,true,libVulpes,net.minecraft.item.ItemBlock
libVulpes:libVulpesore0,190,true,libVulpes,zmaster587.libVulpes.items.ItemOre
libVulpes:libVulpesmetal0,191,true,libVulpes,zmaster587.libVulpes.items.ItemOre
libVulpes:libVulpescoil0,192,true,libVulpes,zmaster587.libVulpes.items.ItemOre
advancedRocketry:tile.dataPipe,193,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.liquidPipe,194,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.energyPipe,195,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:launchpad,196,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:rocketBuilder,197,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:structureTower,198,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:seat,199,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:rocketmotor,200,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:fuelTank,201,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:fuelingStation,202,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:blockMonitoringStation,203,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:blockSatelliteBuilder,204,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:moonTurf,205,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:blockHotTurf,206,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.loader,207,true,advancedRocketry,zmaster587.libVulpes.items.ItemBlockMeta
advancedRocketry:precisionassemblingmachine,208,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:utilBlock,209,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:quartzcrucible,210,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:crystallizer,211,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:cuttingMachine,212,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:alienWood,213,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:alienLeaves,214,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:alienSapling,215,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:observatory,216,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.concrete,217,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.planetSelector,218,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.satelliteMonitor,219,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.planetanalyser,220,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.guidanceComputer,221,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.electricArcFurnace,222,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.sawBlade,223,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.lathe,224,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.rollingMachine,225,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.blockHandPress,226,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.stationAssembler,227,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.electrolyser,228,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.chemreactor,229,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.scrubber,230,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.oxygenVent,231,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.oxygenCharger,232,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.smallAirlockDoor,233,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.dockingPad,234,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.warpCore,235,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.stationmonitor,236,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.atmosphereDetector,237,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.unlittorch,238,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.geode,239,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.oxygenFluidBlock,240,true,advancedRocketry,zmaster587.advancedRocketry.item.ItemFluid
advancedRocketry:tile.hydrogenFluidBlock,241,true,advancedRocketry,zmaster587.advancedRocketry.item.ItemFluid
advancedRocketry:tile.rocketFuelBlock,242,true,advancedRocketry,zmaster587.advancedRocketry.item.ItemFluid
advancedRocketry:tile.nitrogenFluidBlock,243,true,advancedRocketry,zmaster587.advancedRocketry.item.ItemFluid
advancedRocketry:tile.vitrifiedSand,244,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.charcoallog,245,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.electricMushroom,246,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.crystal,247,true,advancedRocketry,zmaster587.advancedRocketry.item.ItemCrystalBlock
advancedRocketry:tile.orientationControl,248,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.gravityControl,249,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.drill,250,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.microwaveReciever,251,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.lightSource,252,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.solarPanel,253,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.suitWorkStation,254,true,advancedRocketry,net.minecraft.item.ItemBlock
advancedRocketry:tile.biomeScanner,255,true,advancedRocketry,net.minecraft.item.ItemBlock
minecraft:iron_shovel,256,false,minecraft,net.minecraft.item.ItemSpade
minecraft:iron_pickaxe,257,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:iron_axe,258,false,minecraft,net.minecraft.item.ItemAxe
minecraft:flint_and_steel,259,false,minecraft,net.minecraft.item.ItemFlintAndSteel
minecraft:apple,260,false,minecraft,net.minecraft.item.ItemFood
minecraft:bow,261,false,minecraft,net.minecraft.item.ItemBow
minecraft:arrow,262,false,minecraft,net.minecraft.item.Item
minecraft:coal,263,false,minecraft,net.minecraft.item.ItemCoal
minecraft:diamond,264,false,minecraft,net.minecraft.item.Item
minecraft:iron_ingot,265,false,minecraft,net.minecraft.item.Item
minecraft:gold_ingot,266,false,minecraft,net.minecraft.item.Item
minecraft:iron_sword,267,false,minecraft,net.minecraft.item.ItemSword
minecraft:wooden_sword,268,false,minecraft,net.minecraft.item.ItemSword
minecraft:wooden_shovel,269,false,minecraft,net.minecraft.item.ItemSpade
minecraft:wooden_pickaxe,270,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:wooden_axe,271,false,minecraft,net.minecraft.item.ItemAxe
minecraft:stone_sword,272,false,minecraft,net.minecraft.item.ItemSword
minecraft:stone_shovel,273,false,minecraft,net.minecraft.item.ItemSpade
minecraft:stone_pickaxe,274,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:stone_axe,275,false,minecraft,net.minecraft.item.ItemAxe
minecraft:diamond_sword,276,false,minecraft,net.minecraft.item.ItemSword
minecraft:diamond_shovel,277,false,minecraft,net.minecraft.item.ItemSpade
minecraft:diamond_pickaxe,278,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:diamond_axe,279,false,minecraft,net.minecraft.item.ItemAxe
minecraft:stick,280,false,minecraft,net.minecraft.item.Item
minecraft:bowl,281,false,minecraft,net.minecraft.item.Item
minecraft:mushroom_stew,282,false,minecraft,net.minecraft.item.ItemSoup
minecraft:golden_sword,283,false,minecraft,net.minecraft.item.ItemSword
minecraft:golden_shovel,284,false,minecraft,net.minecraft.item.ItemSpade
minecraft:golden_pickaxe,285,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:golden_axe,286,false,minecraft,net.minecraft.item.ItemAxe
minecraft:string,287,false,minecraft,net.minecraft.item.ItemReed
minecraft:feather,288,false,minecraft,net.minecraft.item.Item
minecraft:gunpowder,289,false,minecraft,net.minecraft.item.Item
minecraft:wooden_hoe,290,false,minecraft,net.minecraft.item.ItemHoe
minecraft:stone_hoe,291,false,minecraft,net.minecraft.item.ItemHoe
minecraft:iron_hoe,292,false,minecraft,net.minecraft.item.ItemHoe
minecraft:diamond_hoe,293,false,minecraft,net.minecraft.item.ItemHoe
minecraft:golden_hoe,294,false,minecraft,net.minecraft.item.ItemHoe
minecraft:wheat_seeds,295,false,minecraft,net.minecraft.item.ItemSeeds
minecraft:wheat,296,false,minecraft,net.minecraft.item.Item
minecraft:bread,297,false,minecraft,net.minecraft.item.ItemFood
minecraft:leather_helmet,298,false,minecraft,net.minecraft.item.ItemArmor
minecraft:leather_chestplate,299,false,minecraft,net.minecraft.item.ItemArmor
minecraft:leather_leggings,300,false,minecraft,net.minecraft.item.ItemArmor
minecraft:leather_boots,301,false,minecraft,net.minecraft.item.ItemArmor
minecraft:chainmail_helmet,302,false,minecraft,net.minecraft.item.ItemArmor
minecraft:chainmail_chestplate,303,false,minecraft,net.minecraft.item.ItemArmor
minecraft:chainmail_leggings,304,false,minecraft,net.minecraft.item.ItemArmor
minecraft:chainmail_boots,305,false,minecraft,net.minecraft.item.ItemArmor
minecraft:iron_helmet,306,false,minecraft,net.minecraft.item.ItemArmor
minecraft:iron_chestplate,307,false,minecraft,net.minecraft.item.ItemArmor
minecraft:iron_leggings,308,false,minecraft,net.minecraft.item.ItemArmor
minecraft:iron_boots,309,false,minecraft,net.minecraft.item.ItemArmor
minecraft:diamond_helmet,310,false,minecraft,net.minecraft.item.ItemArmor
minecraft:diamond_chestplate,311,false,minecraft,net.minecraft.item.ItemArmor
minecraft:diamond_leggings,312,false,minecraft,net.minecraft.item.ItemArmor
minecraft:diamond_boots,313,false,minecraft,net.minecraft.item.ItemArmor
minecraft:golden_helmet,314,false,minecraft,net.minecraft.item.ItemArmor
minecraft:golden_chestplate,315,false,minecraft,net.minecraft.item.ItemArmor
minecraft:golden_leggings,316,false,minecraft,net.minecraft.item.ItemArmor
minecraft:golden_boots,317,false,minecraft,net.minecraft.item.ItemArmor
minecraft:flint,318,false,minecraft,net.minecraft.item.Item
minecraft:porkchop,319,false,minecraft,net.minecraft.item.ItemFood
minecraft:cooked_porkchop,320,false,minecraft,net.minecraft.item.ItemFood
minecraft:painting,321,false,minecraft,net.minecraft.item.ItemHangingEntity
minecraft:golden_apple,322,false,minecraft,net.minecraft.item.ItemAppleGold
minecraft:sign,323,false,minecraft,net.minecraft.item.ItemSign
minecraft:wooden_door,324,false,minecraft,net.minecraft.item.ItemDoor
minecraft:bucket,325,false,minecraft,net.minecraft.item.ItemBucket
minecraft:water_bucket,326,false,minecraft,net.minecraft.item.ItemBucket
minecraft:lava_bucket,327,false,minecraft,net.minecraft.item.ItemBucket
minecraft:minecart,328,false,minecraft,net.minecraft.item.ItemMinecart
minecraft:saddle,329,false,minecraft,net.minecraft.item.ItemSaddle
minecraft:iron_door,330,false,minecraft,net.minecraft.item.ItemDoor
minecraft:redstone,331,false,minecraft,net.minecraft.item.ItemRedstone
minecraft:snowball,332,false,minecraft,net.minecraft.item.ItemSnowball
minecraft:boat,333,false,minecraft,net.minecraft.item.ItemBoat
minecraft:leather,334,false,minecraft,net.minecraft.item.Item
minecraft:milk_bucket,335,false,minecraft,null
minecraft:brick,336,false,minecraft,net.minecraft.item.Item
minecraft:clay_ball,337,false,minecraft,net.minecraft.item.Item
minecraft:reeds,338,false,minecraft,net.minecraft.item.ItemReed
minecraft:paper,339,false,minecraft,net.minecraft.item.Item
minecraft:book,340,false,minecraft,net.minecraft.item.ItemBook
minecraft:slime_ball,341,false,minecraft,net.minecraft.item.Item
minecraft:chest_minecart,342,false,minecraft,net.minecraft.item.ItemMinecart
minecraft:furnace_minecart,343,false,minecraft,net.minecraft.item.ItemMinecart
minecraft:egg,344,false,minecraft,net.minecraft.item.ItemEgg
minecraft:compass,345,false,minecraft,net.minecraft.item.Item
minecraft:fishing_rod,346,false,minecraft,net.minecraft.item.ItemFishingRod
minecraft:clock,347,false,minecraft,net.minecraft.item.Item
minecraft:glowstone_dust,348,false,minecraft,net.minecraft.item.Item
minecraft:fish,349,false,minecraft,net.minecraft.item.ItemFishFood
minecraft:cooked_fished,350,false,minecraft,net.minecraft.item.ItemFishFood
minecraft:dye,351,false,minecraft,net.minecraft.item.ItemDye
minecraft:bone,352,false,minecraft,net.minecraft.item.Item
minecraft:sugar,353,false,minecraft,net.minecraft.item.Item
minecraft:cake,354,false,minecraft,net.minecraft.item.ItemReed
minecraft:bed,355,false,minecraft,net.minecraft.item.ItemBed
minecraft:repeater,356,false,minecraft,net.minecraft.item.ItemReed
minecraft:cookie,357,false,minecraft,net.minecraft.item.ItemFood
minecraft:filled_map,358,false,minecraft,net.minecraft.item.ItemMap
minecraft:shears,359,false,minecraft,net.minecraft.item.ItemShears
minecraft:melon,360,false,minecraft,net.minecraft.item.ItemFood
minecraft:pumpkin_seeds,361,false,minecraft,net.minecraft.item.ItemSeeds
minecraft:melon_seeds,362,false,minecraft,net.minecraft.item.ItemSeeds
minecraft:beef,363,false,minecraft,net.minecraft.item.ItemFood
minecraft:cooked_beef,364,false,minecraft,net.minecraft.item.ItemFood
minecraft:chicken,365,false,minecraft,net.minecraft.item.ItemFood
minecraft:cooked_chicken,366,false,minecraft,net.minecraft.item.ItemFood
minecraft:rotten_flesh,367,false,minecraft,net.minecraft.item.ItemFood
minecraft:ender_pearl,368,false,minecraft,net.minecraft.item.ItemEnderPearl
minecraft:blaze_rod,369,false,minecraft,net.minecraft.item.Item
minecraft:ghast_tear,370,false,minecraft,net.minecraft.item.Item
minecraft:gold_nugget,371,false,minecraft,net.minecraft.item.Item
minecraft:nether_wart,372,false,minecraft,net.minecraft.item.ItemSeeds
minecraft:potion,373,false,minecraft,net.minecraft.item.ItemPotion
minecraft:glass_bottle,374,false,minecraft,net.minecraft.item.ItemGlassBottle
minecraft:spider_eye,375,false,minecraft,net.minecraft.item.ItemFood
minecraft:fermented_spider_eye,376,false,minecraft,net.minecraft.item.Item
minecraft:blaze_powder,377,false,minecraft,net.minecraft.item.Item
minecraft:magma_cream,378,false,minecraft,net.minecraft.item.Item
minecraft:brewing_stand,379,false,minecraft,net.minecraft.item.ItemReed
minecraft:cauldron,380,false,minecraft,net.minecraft.item.ItemReed
minecraft:ender_eye,381,false,minecraft,net.minecraft.item.ItemEnderEye
minecraft:speckled_melon,382,false,minecraft,net.minecraft.item.Item
minecraft:spawn_egg,383,false,minecraft,net.minecraft.item.ItemMonsterPlacer
minecraft:experience_bottle,384,false,minecraft,net.minecraft.item.ItemExpBottle
minecraft:fire_charge,385,false,minecraft,net.minecraft.item.ItemFireball
minecraft:writable_book,386,false,minecraft,net.minecraft.item.ItemWritableBook
minecraft:written_book,387,false,minecraft,net.minecraft.item.ItemEditableBook
minecraft:emerald,388,false,minecraft,net.minecraft.item.Item
minecraft:item_frame,389,false,minecraft,net.minecraft.item.ItemHangingEntity
minecraft:flower_pot,390,false,minecraft,net.minecraft.item.ItemReed
minecraft:carrot,391,false,minecraft,net.minecraft.item.ItemSeedFood
minecraft:potato,392,false,minecraft,net.minecraft.item.ItemSeedFood
minecraft:baked_potato,393,false,minecraft,net.minecraft.item.ItemFood
