Ore Name,ItemStack,Item ID,Display Name,Wildcard
LEA242Oxide,1xitem.null@91,NuclearCraft:fuel,LEA-242 Oxide Fuel,false
LEC243,1xitem.null@83,NuclearCraft:fuel,LEC-243 Fuel,false
LEC243Cell,1xitem.null@103,NuclearCraft:fuel,LEC-243 Fuel Cell,false
LEC243CellOxide,1xitem.null@113,NuclearCraft:fuel,LEC-243 Oxide Fuel Cell,false
LEC243Oxide,1xitem.null@93,NuclearCraft:fuel,LEC-243 Oxide Fuel,false
LEC245,1xitem.null@85,NuclearCraft:fuel,LEC-245 Fuel,false
LEC245Cell,1xitem.null@105,NuclearCraft:fuel,LEC-245 Fuel Cell,false
LEC245CellOxide,1xitem.null@115,NuclearCraft:fuel,LEC-245 Oxide Fuel Cell,false
LEC245Oxide,1xitem.null@95,NuclearCraft:fuel,LEC-245 Oxide Fuel,false
LEC247,1xitem.null@87,NuclearCraft:fuel,LEC-247 Fuel,false
LEC247Cell,1xitem.null@107,NuclearCraft:fuel,LEC-247 Fuel Cell,false
LEC247CellOxide,1xitem.null@117,NuclearCraft:fuel,LEC-247 Oxide Fuel Cell,false
LEC247Oxide,1xitem.null@97,NuclearCraft:fuel,LEC-247 Oxide Fuel,false
LEN236,1xitem.null@79,NuclearCraft:fuel,LEN-236 Fuel,false
LEN236Cell,1xitem.null@99,NuclearCraft:fuel,LEN-236 Fuel Cell,false
LEN236CellOxide,1xitem.null@109,NuclearCraft:fuel,LEN-236 Oxide Fuel Cell,false
LEN236Oxide,1xitem.null@89,NuclearCraft:fuel,LEN-236 Oxide Fuel,false
LEP239,1xitem.null@2,NuclearCraft:fuel,LEP-239 Fuel,false
LEP239Cell,1xitem.null@13,NuclearCraft:fuel,LEP-239 Fuel Cell,false
LEP239CellOxide,1xitem.null@61,NuclearCraft:fuel,LEP-239 Oxide Fuel Cell,false
LEP239Oxide,1xitem.null@53,NuclearCraft:fuel,LEP-239 Oxide Fuel,false
LEP241,1xitem.null@8,NuclearCraft:fuel,LEP-241 Fuel,false
LEP241Cell,1xitem.null@19,NuclearCraft:fuel,LEP-241 Fuel Cell,false
LEP241CellOxide,1xitem.null@65,NuclearCraft:fuel,LEP-241 Oxide Fuel Cell,false
LEP241Oxide,1xitem.null@57,NuclearCraft:fuel,LEP-241 Oxide Fuel,false
LEU233,1xitem.null@6,NuclearCraft:fuel,LEU-233 Fuel,false
LEU233Cell,1xitem.null@17,NuclearCraft:fuel,LEU-233 Fuel Cell,false
LEU233CellOxide,1xitem.null@63,NuclearCraft:fuel,LEU-233 Oxide Fuel Cell,false
LEU233Oxide,1xitem.null@55,NuclearCraft:fuel,LEU-233 Oxide Fuel,false
LEU235,1xitem.null@0,NuclearCraft:fuel,LEU-235 Fuel,false
LEU235Cell,1xitem.null@11,NuclearCraft:fuel,LEU-235 Fuel Cell,false
LEU235CellOxide,1xitem.null@59,NuclearCraft:fuel,LEU-235 Oxide Fuel Cell,false
LEU235Oxide,1xitem.null@51,NuclearCraft:fuel,LEU-235 Oxide Fuel,false
Li6,1xitem.null@46,NuclearCraft:material,Lithium-6,false
Li7,1xitem.null@47,NuclearCraft:material,Lithium-7,false
MOX239,1xitem.null@4,NuclearCraft:fuel,MOX-239 Fuel,false
MOX239Cell,1xitem.null@15,NuclearCraft:fuel,MOX-239 Fuel Cell,false
MOX241,1xitem.null@10,NuclearCraft:fuel,MOX-241 Fuel,false
MOX241Cell,1xitem.null@21,NuclearCraft:fuel,MOX-241 Fuel Cell,false
Np236,1xitem.null@86,NuclearCraft:material,Neptunium-236,false
Np236,1xitem.null@104,NuclearCraft:material,Neptunium-236 Oxide,false
Np236Base,1xitem.null@86,NuclearCraft:material,Neptunium-236,false
Np236Oxide,1xitem.null@104,NuclearCraft:material,Neptunium-236 Oxide,false
Np237,1xitem.null@88,NuclearCraft:material,Neptunium-237,false
Np237,1xitem.null@106,NuclearCraft:material,Neptunium-237 Oxide,false
Np237Base,1xitem.null@88,NuclearCraft:material,Neptunium-237,false
Np237Oxide,1xitem.null@106,NuclearCraft:material,Neptunium-237 Oxide,false
Pu238,1xitem.null@30,NuclearCraft:material,Plutonium-238,false
Pu238,1xitem.null@61,NuclearCraft:material,Plutonium-238 Oxide,false
Pu238Base,1xitem.null@30,NuclearCraft:material,Plutonium-238,false
Pu238Oxide,1xitem.null@61,NuclearCraft:material,Plutonium-238 Oxide,false
Pu239,1xitem.null@32,NuclearCraft:material,Plutonium-239,false
Pu239,1xitem.null@63,NuclearCraft:material,Plutonium-239 Oxide,false
Pu239Base,1xitem.null@32,NuclearCraft:material,Plutonium-239,false
Pu239Oxide,1xitem.null@63,NuclearCraft:material,Plutonium-239 Oxide,false
Pu241,1xitem.null@36,NuclearCraft:material,Plutonium-241,false
Pu241,1xitem.null@67,NuclearCraft:material,Plutonium-241 Oxide,false
Pu241Base,1xitem.null@36,NuclearCraft:material,Plutonium-241,false
Pu241Oxide,1xitem.null@67,NuclearCraft:material,Plutonium-241 Oxide,false
Pu242,1xitem.null@34,NuclearCraft:material,Plutonium-242,false
Pu242,1xitem.null@65,NuclearCraft:material,Plutonium-242 Oxide,false
Pu242Base,1xitem.null@34,NuclearCraft:material,Plutonium-242,false
Pu242Oxide,1xitem.null@65,NuclearCraft:material,Plutonium-242 Oxide,false
TBU,1xitem.null@5,NuclearCraft:fuel,TBU Fuel,false
TBUCell,1xitem.null@16,NuclearCraft:fuel,TBU Fuel Cell,false
TBUCellOxide,1xitem.null@77,NuclearCraft:fuel,TBU Oxide Fuel Cell,false
TBUOxide,1xitem.null@76,NuclearCraft:fuel,TBU Oxide Fuel,false
Th230,1xitem.null@40,NuclearCraft:material,Thorium-230,false
Th230,1xitem.null@84,NuclearCraft:material,Thorium-230 Oxide,false
Th230Base,1xitem.null@40,NuclearCraft:material,Thorium-230,false
Th230Oxide,1xitem.null@84,NuclearCraft:material,Thorium-230 Oxide,false
Th232,1xitem.null@38,NuclearCraft:material,Thorium-232,false
Th232,1xitem.null@82,NuclearCraft:material,Thorium-232 Oxide,false
Th232Base,1xitem.null@38,NuclearCraft:material,Thorium-232,false
Th232Oxide,1xitem.null@82,NuclearCraft:material,Thorium-232 Oxide,false
U233,1xitem.null@28,NuclearCraft:material,Uranium-233,false
U233,1xitem.null@59,NuclearCraft:material,Uranium-233 Oxide,false
U233Base,1xitem.null@28,NuclearCraft:material,Uranium-233,false
U233Oxide,1xitem.null@59,NuclearCraft:material,Uranium-233 Oxide,false
U235,1xitem.null@26,NuclearCraft:material,Uranium-235,false
U235,1xitem.null@57,NuclearCraft:material,Uranium-235 Oxide,false
U235Base,1xitem.null@26,NuclearCraft:material,Uranium-235,false
U235Oxide,1xitem.null@57,NuclearCraft:material,Uranium-235 Oxide,false
U238,1xitem.null@24,NuclearCraft:material,Uranium-238,false
U238,1xitem.null@55,NuclearCraft:material,Uranium-238 Oxide,false
U238Base,1xitem.null@24,NuclearCraft:material,Uranium-238,false
U238Oxide,1xitem.null@55,NuclearCraft:material,Uranium-238 Oxide,false
alloyAdvanced,1xitem.EnrichedAlloy@0,Mekanism:EnrichedAlloy,Enriched Alloy,false
alloyBasic,1xitem.redstone@0,minecraft:redstone,Redstone,false
alloyElite,1xitem.ReinforcedAlloy@0,Mekanism:ReinforcedAlloy,Reinforced Alloy,false
alloyUltimate,1xitem.AtomicAlloy@0,Mekanism:AtomicAlloy,Atomic Alloy,false
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,Alumite Tool Rod,false
antiBlock,1xtile.chisel.antiBlock@0,chisel:antiBlock,Anti Block,false
arcaneAsh,1xitem.arsmagica2:itemOre@2,arsmagica2:itemOre,Arcane Ash,false
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,Ardite Tool Rod,false
arrowGtWoodDamascusSteel,1xgt.metaitem.02@25335,gregtech:gt.metaitem.02,Damascus Steel Arrow,false
arrowGtWoodSterlingSilver,1xgt.metaitem.02@25350,gregtech:gt.metaitem.02,Sterling Silver Arrow,false
bEnderAirBottle,1xitem.manaResource@15,Botania:manaResource,Ender Air Bottle,false
bFlask,1xitem.vial@1,Botania:vial,Alfglass Flask,false
bPlaceholder,1xitem.manaResource@11,Botania:manaResource,Crafting Placeholder,false
bRedString,1xitem.manaResource@12,Botania:manaResource,Red String,false
bVial,1xitem.vial@0,Botania:vial,Managlass Vial,false
bamboo,1xitem.grc.bamboo@0,Growthcraft|Bamboo:grc.bamboo,Bamboo,false
barsIron,1xtile.fenceIron@0,minecraft:iron_bars,Iron Bars,false
barsIron,1xtile.blockDarkIronBars@0,EnderIO:blockDarkIronBars,Dark Iron Bars,false
battery,1xitem.EnergyTablet@0,Mekanism:EnergyTablet,Invalid OreDictionary Tag,false
batteryAdvanced,1xic2.itemAdvBat@32767,IC2:itemAdvBat,(wildcard),true
batteryBasic,1xic2.itemBatREDischarged@0,IC2:itemBatREDischarged,RE-Battery,false
batteryBasic,1xic2.itemBatRE@32767,IC2:itemBatRE,(wildcard),true
batteryElite,1xic2.itemBatCrystal@32767,IC2:itemBatCrystal,(wildcard),true
batteryMaster,1xic2.itemBatLamaCrystal@32767,IC2:itemBatLamaCrystal,(wildcard),true
batteryUltimate,1xgt.metaitem.01@32597,gregtech:gt.metaitem.01,Lapotronic Energy Orb,false
batteryUltimate,1xgt.metaitem.01@32599,gregtech:gt.metaitem.01,Lapotronic Energy Orb Cluster,false
baubleAmuletGold,1xitem.ItemBaubleBlanks@0,Thaumcraft:ItemBaubleBlanks,Mundane Amulet,false
baubleBeltBase,1xitem.TravellersGear.simpleGear@1,TravellersGear:simpleGear,Belt,false
baubleBeltBase,1xitem.ItemBaubleBlanks@2,Thaumcraft:ItemBaubleBlanks,Mundane Belt,false
baubleRingGold,1xitem.TravellersGear.simpleGear@2,TravellersGear:simpleGear,Gold Ring,false
baubleRingGold,1xitem.ItemBaubleBlanks@1,Thaumcraft:ItemBaubleBlanks,Mundane Ring,false
baubleRingSilver,1xitem.TravellersGear.simpleGear@3,TravellersGear:simpleGear,Silver Ring,false
beeComb,1xitem.for.beeCombs@32767,Forestry:beeCombs,(wildcard),true
beeComb,1xitem.comb@0,MagicBees:comb,Mundane Comb,false
beeComb,1xitem.honeyComb@32767,ExtraBees:honeyComb,(wildcard),true
beeComb,1xitem.grc.honeyComb.empty@0,Growthcraft|Bees:grc.honeyCombEmpty,Empty Honeycomb,false
beeComb,1xitem.grc.honeyComb.full@0,Growthcraft|Bees:grc.honeyCombFilled,Honeycomb,false
beeComb,1xitem.gendustry.HoneyComb@32767,gendustry:HoneyComb,(wildcard),true
beeQueen,1xitem.queenbeeItem@0,harvestcraft:queenbeeItem,Queen Bee,false
beeQueen,1xitem.grc.bee@0,Growthcraft|Bees:grc.bee,Bee,false
blockAdamantium,1xgt.blockmetal1@0,gregtech:gt.blockmetal1,Block of Adamantium,false
blockAluminium,1xgt.blockmetal1@1,gregtech:gt.blockmetal1,Block of Aluminium,false
blockAluminium,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminiumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAluminum,1xtile.metal@9,libVulpes:libVulpesmetal0,Aluminum Block,false
blockAluminum,1xtile.ImmersiveEngineering.storage@1,ImmersiveEngineering:storage,Block of Aluminium,false
blockAluminum,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAlumite,1xtile.tconstruct.metalblock@8,TConstruct:MetalBlock,Block of Alumite,false
blockAmber,1xtile.gemOre@15,BiomesOPlenty:gemOre,Block of Amber,false
blockAmber,1xgt.blockgem1@1,gregtech:gt.blockgem1,Block of Amber,false
blockAmericium,1xgt.blockmetal1@2,gregtech:gt.blockmetal1,Block of Americium,false
blockAmethyst,1xgt.blockgem1@2,gregtech:gt.blockgem1,Block of Amethyst,false
blockAndesite,1xtile.chisel.andesite@0,chisel:andesite,Andesite,false
blockAnnealedCopper,1xgt.blockmetal1@3,gregtech:gt.blockmetal1,Block of Annealed Copper,false
blockAntimony,1xgt.blockmetal1@4,gregtech:gt.blockmetal1,Block of Antimony,false
blockAnyBronze,1xic2.blockMetal@2,IC2:blockMetal,Bronze Block,false
blockAnyBronze,1xtile.for.resourceStorage@3,Forestry:resourceStorage,Block of Bronze,false
blockAnyBronze,1xgt.blockmetal2@0,gregtech:gt.blockmetal2,Block of Bronze,false
blockAnyBronze,1xtile.BasicBlock@1,Mekanism:BasicBlock,Bronze Block,false
blockAnyBronze,1xtile.blockBlock@6,NuclearCraft:blockBlock,Bronze Block,false
blockAnyCopper,1xtile.metal@4,libVulpes:libVulpesmetal0,Copper Block,false
blockAnyCopper,1xic2.blockMetal@0,IC2:blockMetal,Copper Block,false
blockAnyCopper,1xtile.for.resourceStorage@1,Forestry:resourceStorage,Block of Copper,false
blockAnyCopper,1xtile.railcraft.cube@9,Railcraft:cube,Block of Copper,false
blockAnyCopper,1xgt.blockmetal1@3,gregtech:gt.blockmetal1,Block of Annealed Copper,false
blockAnyCopper,1xgt.blockmetal2@7,gregtech:gt.blockmetal2,Block of Copper,false
blockAnyCopper,1xtile.ImmersiveEngineering.storage@0,ImmersiveEngineering:storage,Block of Copper,false
blockAnyCopper,1xblock_copper@0,Magneticraft:block_copper,Copper Block,false
blockAnyCopper,1xtile.BasicBlock@12,Mekanism:BasicBlock,Copper Block,false
blockAnyCopper,1xtile.projectred.exploration.stone@8,ProjRed|Exploration:projectred.exploration.stone,Block of Copper,false
blockAnyCopper,1xtile.blockBlock@0,NuclearCraft:blockBlock,Copper Block,false
blockAnyIron,1xtile.blockIron@0,minecraft:iron_block,Block of Iron,false
blockAnyIron,1xgt.blockmetal5@11,gregtech:gt.blockmetal5,Block of Pig Iron,false
blockAnyIron,1xgt.blockmetal8@2,gregtech:gt.blockmetal8,Block of Wrought Iron,false
blockApatite,1xtile.for.resourceStorage@0,Forestry:resourceStorage,Block of Apatite,false
blockArdite,1xtile.tconstruct.metalblock@1,TConstruct:MetalBlock,Block of Ardite,false
blockArsenic,1xgt.blockmetal1@5,gregtech:gt.blockmetal1,Block of Arsenic,false
blockBatteryAlloy,1xgt.blockmetal1@7,gregtech:gt.blockmetal1,Block of Battery Alloy,false
blockBeryllium,1xgt.blockmetal1@8,gregtech:gt.blockmetal1,Block of Beryllium,false
blockBismuth,1xgt.blockmetal1@9,gregtech:gt.blockmetal1,Block of Bismuth,false
blockBismuthBronze,1xgt.blockmetal1@10,gregtech:gt.blockmetal1,Block of Bismuth Bronze,false
blockBlackBronze,1xgt.blockmetal1@11,gregtech:gt.blockmetal1,Block of Black Bronze,false
blockBlackSteel,1xgt.blockmetal1@12,gregtech:gt.blockmetal1,Block of Black Steel,false
blockBlaze,1xtile.blazeBlock@0,Botania:blazeBlock,Blaze Lamp,false
blockBlueSteel,1xgt.blockmetal1@14,gregtech:gt.blockmetal1,Block of Blue Steel,false
blockBlueTopaz,1xgt.blockgem1@4,gregtech:gt.blockgem1,Block of Blue Topaz,false
blockBlueTopaz,1xtile.arsmagica2:ores@7,arsmagica2:vinteumOre,Blue Topaz Block,false
blockBoron,1xtile.blockBlock@9,NuclearCraft:blockBlock,Boron Block,false
blockBrass,1xgt.blockmetal1@15,gregtech:gt.blockmetal1,Block of Brass,false
blockBrass,1xblock_brass@0,Magneticraft:block_brass,Brass Block,false
blockBronze,1xic2.blockMetal@2,IC2:blockMetal,Bronze Block,false
blockBronze,1xtile.for.resourceStorage@3,Forestry:resourceStorage,Block of Bronze,false
blockBronze,1xgt.blockmetal2@0,gregtech:gt.blockmetal2,Block of Bronze,false
blockBronze,1xtile.tconstruct.metalblock@4,TConstruct:MetalBlock,Block of Bronze,false
blockBronze,1xtile.BasicBlock@1,Mekanism:BasicBlock,Bronze Block,false
blockBronze,1xtile.blockBlock@6,NuclearCraft:blockBlock,Bronze Block,false
blockCaesium,1xgt.blockmetal2@1,gregtech:gt.blockmetal2,Block of Caesium,false
blockCarbide,1xblock_carbide@0,Magneticraft:block_carbide,Carbide Block,false
blockCarpet,1xtile.chisel.carpet_block@0,chisel:carpet_block,Carpet,false
blockCerium,1xgt.blockmetal2@2,gregtech:gt.blockmetal2,Block of Cerium,false
blockCertusQuartz,1xgt.blockgem1@5,gregtech:gt.blockgem1,Block of Certus Quartz,false
blockCharcoal,1xgt.blockgem3@4,gregtech:gt.blockgem3,Block of Charcoal,false
blockCharcoal,1xtile.BasicBlock@3,Mekanism:BasicBlock,Charcoal Block,false
blockCharcoalSugar,1xtile.mfr.decorative.brick@15,MineFactoryReloaded:brick,Sugar Charcoal Block,false
blockCheese,1xtile.grcmilk.CheeseBlock@0,Growthcraft|Milk:grcmilk.CheeseBlock,Cheddar Cheese (Unwaxed),false
blockCheese,1xtile.grcmilk.CheeseBlock@1,Growthcraft|Milk:grcmilk.CheeseBlock,Gorgonzola Cheese (Unaged),false
blockCheese,1xtile.grcmilk.CheeseBlock@2,Growthcraft|Milk:grcmilk.CheeseBlock,Swiss Cheese (Unaged),false
blockCheese,1xtile.grcmilk.CheeseBlock@3,Growthcraft|Milk:grcmilk.CheeseBlock,Appenzeller Cheese (Unaged),false
blockCheese,1xtile.grcmilk.CheeseBlock@4,Growthcraft|Milk:grcmilk.CheeseBlock,Asiago Cheese (Unaged),false
blockCheese,1xtile.grcmilk.CheeseBlock@5,Growthcraft|Milk:grcmilk.CheeseBlock,Parmesan Cheese (Unaged),false
blockCheese,1xtile.grcmilk.CheeseBlock@6,Growthcraft|Milk:grcmilk.CheeseBlock,Monterey Cheese (Unwaxed),false
blockCheese,1xtile.grcmilk.CheeseBlock@7,Growthcraft|Milk:grcmilk.CheeseBlock,Ricotta Cheese (Unaged),false
blockChimerite,1xtile.arsmagica2:ores@9,arsmagica2:vinteumOre,Chimerite Block,false
blockChrome,1xgt.blockmetal2@3,gregtech:gt.blockmetal2,Block of Chrome,false
blockChromiumDioxide,1xgt.blockmetal2@4,gregtech:gt.blockmetal2,Block of Chromium Dioxide,false
blockCloth,1xtile.cloth@32767,minecraft:wool,(wildcard),true
blockCoal,1xtile.blockCoal@0,minecraft:coal_block,Block of Coal,false
blockCoal,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalBlack,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoalBlue,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoalBrown,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoalCyan,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoalGray,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoalGreen,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoalLightBlue,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoalLightGray,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoalLime,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoalMagenta,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoalOrange,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
