Name,ID,Has Item,Mod,Class
minecraft:lever,69,true,null,net.minecraft.block.BlockLever
minecraft:stone_pressure_plate,70,true,null,net.minecraft.block.BlockPressurePlate
minecraft:iron_door,71,false,null,net.minecraft.block.BlockDoor
minecraft:wooden_pressure_plate,72,true,null,net.minecraft.block.BlockPressurePlate
minecraft:redstone_ore,73,true,null,net.minecraft.block.BlockRedstoneOre
minecraft:lit_redstone_ore,74,false,null,net.minecraft.block.BlockRedstoneOre
minecraft:unlit_redstone_torch,75,false,null,net.minecraft.block.BlockRedstoneTorch
minecraft:redstone_torch,76,true,null,net.minecraft.block.BlockRedstoneTorch
minecraft:stone_button,77,true,null,net.minecraft.block.BlockButtonStone
minecraft:snow_layer,78,true,null,net.minecraft.block.BlockSnow
minecraft:ice,79,true,null,net.minecraft.block.BlockIce
minecraft:snow,80,true,null,net.minecraft.block.BlockSnowBlock
minecraft:cactus,81,true,null,net.minecraft.block.BlockCactus
minecraft:clay,82,true,null,net.minecraft.block.BlockClay
minecraft:reeds,83,false,null,net.minecraft.block.BlockReed
minecraft:jukebox,84,true,null,net.minecraft.block.BlockJukebox
minecraft:fence,85,true,null,net.minecraft.block.BlockFence
minecraft:pumpkin,86,true,null,net.minecraft.block.BlockPumpkin
minecraft:netherrack,87,true,null,net.minecraft.block.BlockNetherrack
minecraft:soul_sand,88,true,null,net.minecraft.block.BlockSoulSand
minecraft:glowstone,89,true,null,net.minecraft.block.BlockGlowstone
minecraft:portal,90,true,null,net.minecraft.block.BlockPortal
minecraft:lit_pumpkin,91,true,null,net.minecraft.block.BlockPumpkin
minecraft:cake,92,false,null,net.minecraft.block.BlockCake
minecraft:unpowered_repeater,93,false,null,net.minecraft.block.BlockRedstoneRepeater
minecraft:powered_repeater,94,false,null,net.minecraft.block.BlockRedstoneRepeater
minecraft:stained_glass,95,true,null,net.minecraft.block.BlockStainedGlass
minecraft:trapdoor,96,true,null,net.minecraft.block.BlockTrapDoor
minecraft:monster_egg,97,true,null,net.minecraft.block.BlockSilverfish
minecraft:stonebrick,98,true,null,net.minecraft.block.BlockStoneBrick
minecraft:brown_mushroom_block,99,true,null,net.minecraft.block.BlockHugeMushroom
minecraft:red_mushroom_block,100,true,null,net.minecraft.block.BlockHugeMushroom
minecraft:iron_bars,101,true,null,net.minecraft.block.BlockPane
minecraft:glass_pane,102,true,null,net.minecraft.block.BlockPane
minecraft:melon_block,103,true,null,net.minecraft.block.BlockMelon
minecraft:pumpkin_stem,104,false,null,net.minecraft.block.BlockStem
minecraft:melon_stem,105,false,null,net.minecraft.block.BlockStem
minecraft:vine,106,true,null,net.minecraft.block.BlockVine
minecraft:fence_gate,107,true,null,net.minecraft.block.BlockFenceGate
minecraft:brick_stairs,108,true,null,net.minecraft.block.BlockStairs
minecraft:stone_brick_stairs,109,true,null,net.minecraft.block.BlockStairs
minecraft:mycelium,110,true,null,net.minecraft.block.BlockMycelium
minecraft:waterlily,111,true,null,net.minecraft.block.BlockLilyPad
minecraft:nether_brick,112,true,null,net.minecraft.block.Block
minecraft:nether_brick_fence,113,true,null,net.minecraft.block.BlockFence
minecraft:nether_brick_stairs,114,true,null,net.minecraft.block.BlockStairs
minecraft:nether_wart,115,false,null,net.minecraft.block.BlockNetherWart
minecraft:enchanting_table,116,true,null,net.minecraft.block.BlockEnchantmentTable
minecraft:brewing_stand,117,false,null,net.minecraft.block.BlockBrewingStand
minecraft:cauldron,118,false,null,net.minecraft.block.BlockCauldron
minecraft:end_portal,119,true,null,net.minecraft.block.BlockEndPortal
minecraft:end_portal_frame,120,true,null,net.minecraft.block.BlockEndPortalFrame
minecraft:end_stone,121,true,null,net.minecraft.block.Block
minecraft:dragon_egg,122,true,null,net.minecraft.block.BlockDragonEgg
minecraft:redstone_lamp,123,true,null,net.minecraft.block.BlockRedstoneLight
minecraft:lit_redstone_lamp,124,false,null,net.minecraft.block.BlockRedstoneLight
minecraft:double_wooden_slab,125,true,null,net.minecraft.block.BlockWoodSlab
minecraft:wooden_slab,126,true,null,net.minecraft.block.BlockWoodSlab
minecraft:cocoa,127,true,null,net.minecraft.block.BlockCocoa
minecraft:sandstone_stairs,128,true,null,net.minecraft.block.BlockStairs
minecraft:emerald_ore,129,true,null,net.minecraft.block.BlockOre
minecraft:ender_chest,130,true,null,net.minecraft.block.BlockEnderChest
minecraft:tripwire_hook,131,true,null,net.minecraft.block.BlockTripWireHook
minecraft:tripwire,132,false,null,net.minecraft.block.BlockTripWire
minecraft:emerald_block,133,true,null,net.minecraft.block.BlockCompressed
minecraft:spruce_stairs,134,true,null,net.minecraft.block.BlockStairs
minecraft:birch_stairs,135,true,null,net.minecraft.block.BlockStairs
minecraft:jungle_stairs,136,true,null,net.minecraft.block.BlockStairs
minecraft:command_block,137,true,null,net.minecraft.block.BlockCommandBlock
minecraft:beacon,138,true,null,net.minecraft.block.BlockBeacon
minecraft:cobblestone_wall,139,true,null,net.minecraft.block.BlockWall
minecraft:flower_pot,140,false,null,net.minecraft.block.BlockFlowerPot
minecraft:carrots,141,true,null,net.minecraft.block.BlockCarrot
minecraft:potatoes,142,true,null,net.minecraft.block.BlockPotato
minecraft:wooden_button,143,true,null,net.minecraft.block.BlockButtonWood
minecraft:skull,144,false,null,net.minecraft.block.BlockSkull
minecraft:anvil,145,true,null,net.minecraft.block.BlockAnvil
minecraft:trapped_chest,146,true,null,net.minecraft.block.BlockChest
minecraft:light_weighted_pressure_plate,147,true,null,net.minecraft.block.BlockPressurePlateWeighted
minecraft:heavy_weighted_pressure_plate,148,true,null,net.minecraft.block.BlockPressurePlateWeighted
minecraft:unpowered_comparator,149,false,null,net.minecraft.block.BlockRedstoneComparator
minecraft:powered_comparator,150,false,null,net.minecraft.block.BlockRedstoneComparator
minecraft:daylight_detector,151,true,null,net.minecraft.block.BlockDaylightDetector
minecraft:redstone_block,152,true,null,net.minecraft.block.BlockCompressedPowered
minecraft:quartz_ore,153,true,null,net.minecraft.block.BlockOre
minecraft:hopper,154,true,null,net.minecraft.block.BlockHopper
minecraft:quartz_block,155,true,null,net.minecraft.block.BlockQuartz
minecraft:quartz_stairs,156,true,null,net.minecraft.block.BlockStairs
minecraft:activator_rail,157,true,null,net.minecraft.block.BlockRailPowered
minecraft:dropper,158,true,null,net.minecraft.block.BlockDropper
minecraft:stained_hardened_clay,159,true,null,net.minecraft.block.BlockColored
minecraft:stained_glass_pane,160,true,null,net.minecraft.block.BlockStainedGlassPane
minecraft:leaves2,161,true,null,net.minecraft.block.BlockNewLeaf
minecraft:log2,162,true,null,net.minecraft.block.BlockNewLog
minecraft:acacia_stairs,163,true,null,net.minecraft.block.BlockStairs
minecraft:dark_oak_stairs,164,true,null,net.minecraft.block.BlockStairs
BuildCraft|Core:eternalSpring,165,true,null,buildcraft.core.BlockSpring
BuildCraft|Core:buildToolBlock,166,true,null,buildcraft.core.BlockBuildTool
BuildCraft|Core:engineBlock,167,true,null,buildcraft.core.BlockEngine
BuildCraft|Core:markerBlock,168,true,null,buildcraft.core.BlockMarker
BuildCraft|Core:pathMarkerBlock,169,true,null,buildcraft.core.BlockPathMarker
minecraft:hay_block,170,true,null,net.minecraft.block.BlockHay
minecraft:carpet,171,true,null,net.minecraft.block.BlockCarpet
minecraft:hardened_clay,172,true,null,net.minecraft.block.BlockHardenedClay
minecraft:coal_block,173,true,null,net.minecraft.block.Block
minecraft:packed_ice,174,true,null,net.minecraft.block.BlockPackedIce
minecraft:double_plant,175,true,null,net.minecraft.block.BlockDoublePlant
libVulpes:tile.blockPhantom,176,true,null,zmaster587.libVulpes.block.BlockPhantom
libVulpes:blockHatch,177,true,null,zmaster587.libVulpes.block.multiblock.BlockHatch
libVulpes:blockPlaceholder,178,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockPlaceHolder
libVulpes:blockStructureBlock,179,true,null,zmaster587.libVulpes.block.BlockAlphaTexture
libVulpes:rfBattery,180,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiMachineBattery
libVulpes:batteryOutputRF,181,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiMachineBattery
libVulpes:tile.creativePowerBattery,182,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiMachineBattery
libVulpes:tile.advStructureMachine,183,true,null,zmaster587.libVulpes.block.BlockAlphaTexture
libVulpes:tile.coalGenerator,184,true,null,zmaster587.libVulpes.block.BlockTile
libVulpes:tile.motor,185,true,null,zmaster587.libVulpes.block.BlockMotor
libVulpes:tile.advancedMotor,186,true,null,zmaster587.libVulpes.block.BlockMotor
libVulpes:tile.enhancedMotor,187,true,null,zmaster587.libVulpes.block.BlockMotor
libVulpes:tile.eliteMotor,188,true,null,zmaster587.libVulpes.block.BlockMotor
libVulpes:tile.IC2Plug,189,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiMachineBattery
libVulpes:libVulpesore0,190,true,null,zmaster587.libVulpes.block.BlockOre
libVulpes:libVulpesmetal0,191,true,null,zmaster587.libVulpes.block.BlockMetalBlock
libVulpes:libVulpescoil0,192,true,null,zmaster587.libVulpes.block.BlockCoil
advancedRocketry:tile.dataPipe,193,true,null,zmaster587.advancedRocketry.block.cable.BlockDataCable
advancedRocketry:tile.liquidPipe,194,true,null,zmaster587.advancedRocketry.block.cable.BlockLiquidPipe
advancedRocketry:tile.energyPipe,195,true,null,zmaster587.advancedRocketry.block.cable.BlockEnergyPipe
advancedRocketry:launchpad,196,true,null,zmaster587.advancedRocketry.block.BlockLinkedHorizontalTexture
advancedRocketry:rocketBuilder,197,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:structureTower,198,true,null,zmaster587.libVulpes.block.BlockAlphaTexture
advancedRocketry:seat,199,true,null,zmaster587.advancedRocketry.block.BlockSeat
advancedRocketry:rocketmotor,200,true,null,zmaster587.advancedRocketry.block.BlockRocketMotor
advancedRocketry:fuelTank,201,true,null,zmaster587.advancedRocketry.block.BlockFuelTank
advancedRocketry:fuelingStation,202,true,null,zmaster587.advancedRocketry.block.BlockTileRedstoneEmitter
advancedRocketry:blockMonitoringStation,203,true,null,zmaster587.advancedRocketry.block.BlockTileNeighborUpdate
advancedRocketry:blockSatelliteBuilder,204,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:moonTurf,205,true,null,zmaster587.advancedRocketry.block.BlockPlanetSoil
advancedRocketry:blockHotTurf,206,true,null,zmaster587.advancedRocketry.block.BlockPlanetSoil
advancedRocketry:tile.loader,207,true,null,zmaster587.advancedRocketry.block.multiblock.BlockARHatch
advancedRocketry:precisionassemblingmachine,208,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:utilBlock,209,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiBlockComponentVisible
advancedRocketry:quartzcrucible,210,true,null,zmaster587.advancedRocketry.block.BlockQuartzCrucible
advancedRocketry:crystallizer,211,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:cuttingMachine,212,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:alienWood,213,true,null,zmaster587.advancedRocketry.block.plant.BlockAlienWood
advancedRocketry:alienLeaves,214,true,null,zmaster587.advancedRocketry.block.plant.BlockAlienLeaves
advancedRocketry:alienSapling,215,true,null,zmaster587.advancedRocketry.block.plant.BlockAlienSapling
advancedRocketry:observatory,216,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.concrete,217,true,null,zmaster587.advancedRocketry.block.BlockGeneric
advancedRocketry:tile.planetSelector,218,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.satelliteMonitor,219,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.planetanalyser,220,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.guidanceComputer,221,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.electricArcFurnace,222,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.sawBlade,223,true,null,zmaster587.libVulpes.block.BlockRotatableModel
advancedRocketry:tile.lathe,224,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.rollingMachine,225,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.blockHandPress,226,true,null,zmaster587.advancedRocketry.block.BlockPress
advancedRocketry:tile.stationAssembler,227,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.electrolyser,228,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.chemreactor,229,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.scrubber,230,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.oxygenVent,231,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.oxygenCharger,232,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.smallAirlockDoor,233,true,null,zmaster587.advancedRocketry.block.BlockDoor2
advancedRocketry:tile.dockingPad,234,true,null,zmaster587.advancedRocketry.block.BlockLandingPad
advancedRocketry:tile.warpCore,235,true,null,zmaster587.advancedRocketry.block.BlockWarpCore
advancedRocketry:tile.stationmonitor,236,true,null,zmaster587.advancedRocketry.block.BlockWarpShipMonitor
advancedRocketry:tile.atmosphereDetector,237,true,null,zmaster587.advancedRocketry.block.BlockRedstoneEmitter
advancedRocketry:tile.unlittorch,238,true,null,zmaster587.advancedRocketry.block.BlockTorchUnlit
advancedRocketry:tile.geode,239,true,null,zmaster587.advancedRocketry.block.BlockGeneric
advancedRocketry:tile.oxygenFluidBlock,240,true,null,zmaster587.advancedRocketry.block.BlockFluid
advancedRocketry:tile.hydrogenFluidBlock,241,true,null,zmaster587.advancedRocketry.block.BlockFluid
advancedRocketry:tile.rocketFuelBlock,242,true,null,zmaster587.advancedRocketry.block.BlockFluid
advancedRocketry:tile.nitrogenFluidBlock,243,true,null,zmaster587.advancedRocketry.block.BlockFluid
advancedRocketry:tile.vitrifiedSand,244,true,null,zmaster587.advancedRocketry.block.BlockGeneric
advancedRocketry:tile.charcoallog,245,true,null,zmaster587.advancedRocketry.block.BlockCharcoalLog
advancedRocketry:tile.electricMushroom,246,true,null,zmaster587.advancedRocketry.block.BlockElectricMushroom
advancedRocketry:tile.crystal,247,true,null,zmaster587.advancedRocketry.block.BlockCrystal
advancedRocketry:tile.orientationControl,248,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.gravityControl,249,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.drill,250,true,null,zmaster587.advancedRocketry.block.BlockMiningDrill
advancedRocketry:tile.microwaveReciever,251,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.lightSource,252,true,null,zmaster587.advancedRocketry.block.BlockLightSource
advancedRocketry:tile.solarPanel,253,true,null,zmaster587.advancedRocketry.block.BlockSolarPanel
advancedRocketry:tile.suitWorkStation,254,true,null,zmaster587.advancedRocketry.block.BlockSuitWorkstation
advancedRocketry:tile.biomeScanner,255,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.atmosphereTerraformer,409,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.deployableRocketAssembler,410,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.pressurizedTank,411,true,null,zmaster587.advancedRocketry.block.BlockPressurizedFluidTank
advancedRocketry:tile.gasIntake,412,true,null,zmaster587.advancedRocketry.block.BlockIntake
advancedRocketry:tile.circleLight,413,true,null,zmaster587.advancedRocketry.block.BlockGeneric
advancedRocketry:tile.stationMarker,414,true,null,zmaster587.advancedRocketry.block.BlockStationModuleDockingPort
advancedRocketry:tile.solarGenerator,415,true,null,zmaster587.advancedRocketry.block.BlockSolarGenerator
advancedRocketry:tile.alititudeController,416,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.railgun,423,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.astroBed,424,true,null,zmaster587.advancedRocketry.block.BlockAstroBed
advancedRocketry:tile.advRocket,425,true,null,zmaster587.advancedRocketry.block.BlockAdvRocketMotor
advancedRocketry:tile.planetHoloSelector,426,true,null,zmaster587.libVulpes.block.BlockTile
advancedRocketry:tile.lens,427,true,null,net.minecraft.block.BlockGlass
advancedRocketry:tile.forceField,428,true,null,zmaster587.advancedRocketry.block.BlockForceField
advancedRocketry:tile.forceFieldProjector,429,true,null,zmaster587.advancedRocketry.block.BlockForceFieldProjector
advancedRocketry:tile.pipeSeal,430,true,null,zmaster587.advancedRocketry.block.BlockSeal
advancedRocketry:tile.spaceElevatorController,431,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:tile.beacon,432,true,null,zmaster587.advancedRocketry.block.BlockBeacon
advancedRocketry:tile.planks,433,true,null,zmaster587.advancedRocketry.block.plant.BlockAlienPlanks
advancedRocketry:tile.thermiteTorch,434,true,null,zmaster587.advancedRocketry.block.BlockThermiteTorch
advancedRocketry:tile.wirelessTransciever,435,true,null,zmaster587.advancedRocketry.block.BlockTransciever
advancedRocketry:tile.gravityMachine,436,true,null,zmaster587.libVulpes.block.multiblock.BlockMultiblockMachine
advancedRocketry:laserController,437,true,null,zmaster587.advancedRocketry.block.BlockLaser
advancedRocketry:advancedRocketrymetal0,438,true,null,zmaster587.libVulpes.block.BlockMetalBlock
IC2:blockOreCopper,439,true,null,ic2.core.block.BlockMetaData
IC2:blockOreTin,440,true,null,ic2.core.block.BlockMetaData
IC2:blockOreUran,441,true,null,ic2.core.block.BlockMetaData
IC2:blockOreLead,442,true,null,ic2.core.block.BlockMetaData
IC2:blockRubWood,443,true,null,ic2.core.block.BlockRubWood
IC2:blockRubLeaves,444,true,null,ic2.core.block.BlockRubLeaves
IC2:blockRubSapling,445,true,null,ic2.core.block.BlockRubSapling
IC2:blockHarz,446,true,null,ic2.core.block.BlockResin
IC2:blockRubber,447,true,null,ic2.core.block.BlockRubberSheet
IC2:blockFenceIron,448,true,null,ic2.core.block.BlockPoleFence
IC2:blockAlloy,449,true,null,ic2.core.block.BlockMetaData
IC2:blockBasalt,450,true,null,ic2.core.block.BlockMetaData
IC2:blockAlloyGlass,451,true,null,ic2.core.block.BlockTexGlass
IC2:blockDoorAlloy,452,true,null,ic2.core.block.BlockIC2Door
IC2:blockReinforcedFoam,453,true,null,ic2.core.block.BlockReinforcedFoam
IC2:blockFoam,454,true,null,ic2.core.block.BlockFoam
IC2:blockWall,455,true,null,ic2.core.block.BlockWall
IC2:blockScaffold,456,true,null,ic2.core.block.BlockScaffold
IC2:blockIronScaffold,457,true,null,ic2.core.block.BlockScaffold
IC2:blockMetal,458,true,null,ic2.core.block.BlockMetal
IC2:blockCable,459,true,null,ic2.core.block.wiring.BlockCable
IC2:blockKineticGenerator,460,true,null,ic2.core.block.kineticgenerator.block.BlockKineticGenerator
IC2:blockHeatGenerator,461,true,null,ic2.core.block.heatgenerator.block.BlockHeatGenerator
IC2:blockGenerator,462,true,null,ic2.core.block.generator.block.BlockGenerator
IC2:blockReactorChamber,463,true,null,ic2.core.block.reactor.block.BlockReactorChamber
IC2:blockReactorFluidPort,464,true,null,ic2.core.block.reactor.block.BlockReactorFluidPort
IC2:blockReactorAccessHatch,465,true,null,ic2.core.block.reactor.block.BlockReactorAccessHatch
IC2:blockReactorRedstonePort,466,true,null,ic2.core.block.reactor.block.BlockReactorRedstonePort
IC2:blockreactorvessel,467,true,null,ic2.core.block.reactor.block.BlockReactorVessel
IC2:blockElectric,468,true,null,ic2.core.block.wiring.BlockElectric
IC2:blockChargepad,469,true,null,ic2.core.block.wiring.BlockChargepad
IC2:blockMachine,470,true,null,ic2.core.block.machine.BlockMachine
IC2:blockMachine2,471,true,null,ic2.core.block.machine.BlockMachine2
IC2:blockMachine3,472,true,null,ic2.core.block.machine.BlockMachine3
IC2:blockLuminatorDark,473,true,null,ic2.core.block.wiring.BlockLuminator
IC2:blockLuminator,474,true,null,ic2.core.block.wiring.BlockLuminator
IC2:blockMiningPipe,475,true,null,ic2.core.block.machine.BlockMiningPipe
IC2:blockMiningTip,476,true,null,ic2.core.block.machine.BlockMiningTip
IC2:blockPersonal,477,true,null,ic2.core.block.personal.BlockPersonal
IC2:blockITNT,478,true,null,ic2.core.block.BlockITNT
IC2:blockNuke,479,true,null,ic2.core.block.BlockITNT
IC2:blockDynamite,480,true,null,ic2.core.block.BlockDynamite
IC2:blockDynamiteRemote,481,true,null,ic2.core.block.BlockDynamite
IC2:blockCrop,482,true,null,ic2.core.crop.BlockCrop
IC2:blockBarrel,483,true,null,ic2.core.block.BlockBarrel
IC2:fluidUuMatter,484,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidConstructionFoam,485,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidCoolant,486,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidHotCoolant,487,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidPahoehoeLava,488,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidBiomass,489,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidBiogas,490,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidDistilledWater,491,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidSuperheatedSteam,492,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidSteam,493,true,null,ic2.core.block.BlockIC2Fluid
IC2:fluidHotWater,494,true,null,ic2.core.block.BlockIC2Fluid
AdvancedSolarPanel:BlockMolecularTransformer,495,true,null,advsolar.common.blocks.BlockMolecularTransformer
AdvancedSolarPanel:BlockAdvSolarPanel,496,true,null,advsolar.common.blocks.BlockAdvSolarPanel
appliedenergistics2:tile.OreQuartz,497,true,null,appeng.block.solids.OreQuartz
appliedenergistics2:tile.OreQuartzCharged,498,true,null,appeng.block.solids.OreQuartzCharged
appliedenergistics2:tile.BlockMatrixFrame,499,true,null,appeng.block.spatial.BlockMatrixFrame
appliedenergistics2:tile.BlockQuartz,500,true,null,appeng.block.solids.BlockQuartz
appliedenergistics2:tile.BlockQuartzPillar,501,true,null,appeng.block.solids.BlockQuartzPillar
appliedenergistics2:tile.BlockQuartzChiseled,502,true,null,appeng.block.solids.BlockQuartzChiseled
appliedenergistics2:tile.BlockQuartzGlass,503,true,null,appeng.block.solids.BlockQuartzGlass
appliedenergistics2:tile.BlockQuartzLamp,504,true,null,appeng.block.solids.BlockQuartzLamp
appliedenergistics2:tile.BlockQuartzTorch,505,true,null,appeng.block.misc.BlockQuartzTorch
appliedenergistics2:tile.BlockFluix,506,true,null,appeng.block.solids.BlockFluix
appliedenergistics2:tile.BlockSkyStone,507,true,null,appeng.block.solids.BlockSkyStone
appliedenergistics2:tile.BlockSkyChest,508,true,null,appeng.block.storage.BlockSkyChest
appliedenergistics2:tile.BlockSkyCompass,509,true,null,appeng.block.misc.BlockSkyCompass
appliedenergistics2:tile.BlockInscriber,510,true,null,appeng.block.misc.BlockInscriber
appliedenergistics2:tile.BlockWireless,511,true,null,appeng.block.networking.BlockWireless
